duration_song,centroid_f,Ht_temporal_entropy,LFC_spectral_cover,MFC_spectral_cover,HFC_spectral_cover,Hf_spectral_entropy,number_of_freq_peaks,Hf_Havrda_spectral_entropy,Hf_Renyi_spectral_entropy,Hf_pairedShannon_spectral_entropy,Hf_gamma_spectral_entropy,Hf_GiniSimpson_spectral_entropy,peak_freq,peak_freq_amp_by_mean_amp,peak_f_roi,centroid_f_roi,num_syllables_per_unit_time,syllable_duration_mean,syllable_duration_std,mean_gap_duration,gap_duration_std,sound_per_silence_ratio,sound_per_vocalization_ratio,drumming,birdlife_sci_name,short_or_continuous_song
3,5928.8086,0.8332,0.3474,0.2828,0.2869,0.6148,28.6667,0.3325,3.0754,4.8167,3001.9969,0.9635,6411.8281,2.6967,6410.1615,5928.8086,7.2222,0.0549,0.0193,0.0681,0.0317,0.8471,0.396,no,Certhia familiaris,short
3.2,3591.7383,0.7603,0.3939,0.3564,0.3532,0.6945,29,0.3332,3.9285,5.3239,4493.7292,0.9832,3929.7766,0.4011,3981.8961,3617.5781,6.7467,0.0546,0.0154,0.1,0.0633,0.5574,0.3676,no,Turdus pilaris,short
9,4715.7715,0.7466,0.377,0.2678,0.3087,0.6289,31,0.3329,3.3533,4.9086,3671.5384,0.971,5036.7031,1.1375,5037.7031,4715.7715,6.4935,0.053,0.0284,0.1077,0.0734,0.5103,0.343,no,Turdus iliacus,""
1.8462,2941.7668,0.7777,0.4175,0.2827,0.3558,0.4895,24.2308,0.3306,2.6082,4.0165,1114.0473,0.9282,3025.3717,4.7594,3092.7815,2955.018,5.9423,0.065,0.0165,0.1647,0.0785,0.395,0.3478,no,Turdus philomelos,long
0,5245.4883,0.5343,0.3329,0.2492,0.3313,0.3069,33.4,0.3149,1.4814,2.8004,391.576,0.7929,5218.3688,19.8963,5219.1688,5254.1016,2.4,0.0555,0.013,0.1296,0.0134,0.1323,0.1323,no,Coccothraustes coccothraustes,short
3.375,1970.2881,0.7582,0.3647,0.2809,0.3327,0.4356,26.375,0.33,2.3282,3.6727,409.9828,0.9141,1943.3135,4.7014,1942.9219,1997.2046,5.3229,0.056,0.0126,0.1084,0.039,0.3972,0.297,no,Merops apiaster,short
7,4249.2188,0.8471,0.3849,0.3642,0.3772,0.6597,14.6667,0.3332,3.7263,5.1051,2942.0877,0.9795,4209.086,0.5616,4267.8412,4263.5742,7,0.0492,0.0166,0.0881,0.0527,0.5743,0.3442,no,Hirundo rustica,short
9,3940.5761,0.808,0.3675,0.3491,0.3574,0.6602,17.5,0.3332,3.886,5.1086,2947.1114,0.9806,4030.6426,0.425,4029.6426,3962.1094,7.8,0.0499,0.0125,0.0769,0.0413,0.6606,0.3893,no,Delichon urbicum,short
5.6667,4364.0625,0.85,0.3602,0.3237,0.3476,0.6605,17,0.3332,3.8089,5.1102,3016.9945,0.9803,4418.0846,0.6449,4393.707,4364.0625,7,0.0589,0.0242,0.0863,0.0503,0.7459,0.406,no,Riparia riparia,short
0.3043,3613.8332,0.7916,0.2728,0.2163,0.2734,0.5658,33.1304,0.3318,2.9561,4.5049,2259.1988,0.9527,3444.1591,0.8542,3572.2605,3678.2626,1.9565,0.0599,0.0135,0.0946,0.0248,0.1373,0.1107,no,Ptyonoprogne rupestris,short
1.75,3552.9785,0.8226,0.3276,0.3379,0.3578,0.5796,27.75,0.3313,2.8881,4.5897,2110.7036,0.9502,3681.6279,4.0959,3676.3613,3563.7451,8,0.0582,0.0255,0.0939,0.052,0.5856,0.4606,no,Cecropis daurica,""
0.8571,572.168,0.7655,0.3271,0.3751,0.391,0.1374,2.2857,0.2456,0.6716,1.5503,37.2619,0.5142,577.673,31.853,578.673,578.3203,2.8571,0.0647,0.0016,0.1525,0.0074,0.1843,0.1843,no,Upupa epops,short
13.75,4898.8037,0.8422,0.3825,0.3704,0.377,0.73,37.25,0.3332,4.0668,5.547,8263.4179,0.9853,4216.958,0.6064,4780.8047,4974.1699,6.457,0.0562,0.0198,0.0949,0.0527,0.6195,0.3622,no,Hippolais icterina,long
3.25,3700.1221,0.7893,0.3638,0.3238,0.3399,0.599,30.0833,0.3322,3.1856,4.7168,2425.6325,0.9608,3775.333,1.3077,3675.3503,3728.833,7.0916,0.0516,0.0161,0.0871,0.0385,0.5209,0.3661,no,Hippolais polyglotta,short
14,3703.7109,0.8819,0.3654,0.3275,0.3458,0.6899,32,0.3332,3.8743,5.2948,4936.2349,0.9825,3208.9141,1.4115,3210.9141,3746.7773,7,0.0613,0.028,0.0855,0.0423,0.7246,0.4293,no,Linaria cannabina,short
10.3333,4091.3086,0.8401,0.337,0.2618,0.3016,0.6077,23.3333,0.3324,3.3031,4.7706,4841.2671,0.9604,4008.1094,0.811,4001.1094,4062.5977,9.409,0.0443,0.016,0.0601,0.032,0.759,0.417,no,Locustella luscinioides,""
,6115.4297,0.9076,0.356,0.2831,0.3355,0.5023,11,0.3309,2.4626,4.0971,1566.1133,0.9294,5971.1641,1.7907,5971.1641,6072.3633,9.6,0.051,0.0237,0.055,0.028,0.9378,0.4899,no,Locustella naevia,continuous
0.4444,5751.7578,0.8168,0.2707,0.2157,0.3233,0.4925,32.1111,0.3306,2.4437,4.0333,2305.5847,0.925,5417.3898,3.3027,5424.1823,5770.8984,3.1111,0.0629,0.0162,0.1164,0.0321,0.1935,0.1935,no,Alcedo atthis,short
6,5124.9024,0.8716,0.3433,0.2906,0.3007,0.5946,27,0.3328,3.3388,4.6928,2363.6695,0.9675,5288.7682,1.4711,5170.569,5139.2578,6.8333,0.0571,0.0261,0.0847,0.0463,0.6966,0.391,no,Apus apus,short
3,4629.6387,0.8952,0.3384,0.3154,0.2983,0.5952,32.5,0.3328,3.2148,4.6957,2247.8232,0.9667,4840.3877,1.704,4842.3877,4694.2383,6.1875,0.0602,0.0232,0.0981,0.0645,0.6581,0.3731,no,Apus pallidus,""
7.75,3832.9102,0.8122,0.3269,0.3368,0.3343,0.5535,29.25,0.3322,2.8917,4.428,2517.7643,0.9511,3933.5098,1.6469,3935.2598,3854.4434,10.05,0.0432,0.0096,0.0684,0.0259,0.7666,0.4141,no,Tachymarptis melba,""
4.3333,3086.4258,0.8331,0.348,0.3002,0.3178,0.5303,29.3333,0.3322,2.9927,4.2831,1219.8795,0.9512,2900.2383,3.4867,2901.405,3100.7812,7.1,0.0561,0.0206,0.0737,0.034,0.7653,0.3966,no,Monticola solitarius,""
6.2,3229.9805,0.8127,0.38,0.3074,0.3496,0.5873,25.6,0.3317,2.9955,4.6398,2129.1986,0.9541,3192.4742,2.716,3190.6609,3264.4336,7.0197,0.0567,0.0246,0.078,0.041,0.7555,0.3963,no,Monticola saxatilis,""
1,3587.97,0.7286,0.358,0.3163,0.3359,0.6152,32.8125,0.3324,3.341,4.8192,3237.5607,0.9635,3326.376,1.4611,3478.4209,3585.2783,6.5312,0.0571,0.0198,0.0928,0.0447,0.356,0.3331,no,Turdus torquatus,short
3,3703.7109,0.637,0.3843,0.3391,0.3682,0.6332,36.3333,0.3329,3.4662,4.9363,3307.3443,0.9724,3122.4258,1.4254,3120.0924,3631.9336,3.5556,0.0614,0.009,0.1224,0.0216,0.2419,0.1936,no,Passer montanus,short
0,3488.3789,0.8105,0.3105,0.3125,0.3045,0.5664,32.1429,0.3315,2.8856,4.5066,1927.6071,0.9482,3518.6456,3.4796,3485.7221,3482.2266,2,0.0639,0.0114,0.0889,0,0.1277,0.1277,no,Petronia petronia,short
1.1429,4881.8848,0.768,0.3774,0.3309,0.3579,0.5724,25.7143,0.3301,2.9276,4.54,2812.2548,0.9421,4776.7285,2.3062,4796.976,4841.8945,6.1786,0.0552,0.0111,0.0855,0.0335,0.4084,0.3334,no,Poecile montanus,long
1.8333,4608.1055,0.8082,0.3722,0.3263,0.3529,0.5568,20.1667,0.3316,2.8075,4.4462,1924.9507,0.9473,4496.0397,3.0979,4490.5287,4600.9277,10.3333,0.0445,0.0162,0.0585,0.043,0.7487,0.4514,no,Lophophanes cristatus,long
3.1,5137.8223,0.823,0.3862,0.276,0.3524,0.5661,20.9,0.3319,2.9293,4.5066,1994.733,0.9519,5191.3422,3.5947,5215.8887,5142.1289,6.8357,0.0574,0.0164,0.0867,0.0301,0.7131,0.3895,no,Periparus ater,short
1.4828,4395.7435,0.7465,0.3894,0.3405,0.3814,0.5845,26.5862,0.332,3.1532,4.6246,2157.7429,0.9576,4390.3553,3.0651,4337.1396,4406.1389,6.8707,0.0527,0.0122,0.0957,0.031,0.4727,0.3569,no,Poecile palustris,short
3.25,6325.3784,0.7838,0.3972,0.2907,0.3601,0.5594,25.625,0.3318,3.0268,4.4631,2517.7361,0.9483,6699.6431,4.1696,6700.8931,6368.4448,4.8816,0.0605,0.0267,0.1167,0.0378,0.3237,0.2926,no,Aegithalos caudatus,short
0,3692.9443,0.3444,0.2801,0.2787,0.3001,0.7223,16,0.3333,4.2954,5.4995,5308.6736,0.9873,4120.292,0.1599,3514.3623,3660.6445,4,0.0556,0.0144,0.0694,0.0112,0.2224,0.2224,no,Tetrax tetrax,short
2.5,1902.0996,0.7949,0.3415,0.2588,0.3132,0.4354,27.1667,0.3267,2.1257,3.6563,1012.0371,0.8874,1639.6348,6.0205,1639.9681,1902.0996,9.0139,0.0544,0.0137,0.1004,0.0282,0.6639,0.4259,no,Picus canus,short
3.1,2803.6231,0.9057,0.3086,0.2681,0.2842,0.5764,32.1,0.3322,3.0275,4.5735,2152.0215,0.9562,2819.7832,2.0477,2860.943,2812.2363,6.315,0.0579,0.0219,0.0682,0.0293,0.4613,0.357,no,Leiopicus medius,short
3.5,1686.7676,0.8058,0.333,0.2562,0.3274,0.4028,17.8333,0.3244,1.8357,3.4404,690.2179,0.865,1646.9903,6.7827,1649.3236,1679.5899,10.2917,0.0502,0.0146,0.0868,0.0264,0.694,0.4294,no,Dryocopus martius,short
2.75,2077.9541,0.8376,0.3584,0.3162,0.3484,0.3404,23.25,0.3209,1.6621,3.0309,435.5207,0.8292,2092.6709,15.3081,2092.9209,2077.9541,6.6875,0.0563,0.0035,0.1034,0.0054,0.6348,0.3786,no,Picus viridis,short
1.625,1911.0718,0.8134,0.3117,0.292,0.3181,0.4566,21.25,0.3277,2.0992,3.7944,942.2518,0.8983,1715.9566,3.8373,1716.3316,1916.4551,13.2292,0.0384,0.0113,0.0488,0.0208,0.5962,0.4502,no,Dryobates minor,short
1.0526,2599.8509,0.7205,0.3785,0.3035,0.3665,0.4011,26.4737,0.3159,1.9728,3.411,715.5264,0.8412,2675.5841,9.592,2678.4893,2613.4508,4.4737,0.0548,0.024,0.0834,0.0344,0.3033,0.24,no,Lanius excubitor,""
0.9444,2564.8437,0.696,0.3696,0.2873,0.3479,0.3914,26.9444,0.315,1.9294,3.3471,616.6669,0.8351,2644.0658,9.9515,2645.625,2576.8066,4.8611,0.0534,0.0227,0.0875,0.042,0.2874,0.257,no,Lanius meridionalis,""
16.5,3703.7109,0.8198,0.3981,0.3567,0.3916,0.6723,33,0.3332,3.7077,5.1835,4816.6838,0.9791,3398.1465,0.6366,3587.4785,3746.7774,6.4652,0.0557,0.0231,0.0998,0.0586,0.5686,0.3608,no,Lanius senator,long
1.4545,3081.2056,0.748,0.3582,0.2837,0.3462,0.56,26.6364,0.3316,2.9271,4.4657,2414.3084,0.9467,2849.8679,1.5564,2702.9173,3069.4602,6.9242,0.0525,0.0149,0.0824,0.0447,0.3886,0.3573,no,Lanius collurio,short
1,409.1309,0.9156,0.1976,0.255,0.2652,0.2708,2,0.3092,1.3249,2.5553,102.2164,0.7618,428.0977,9.106,429.0977,409.1309,9.5,0.0479,0.016,0.0482,0.0152,0.4448,0.4448,no,Columba livia,short
0.8889,378.0274,0.8414,0.2412,0.3326,0.3475,0.1984,2.3333,0.2733,0.9327,2.0086,57.6091,0.6276,387.8645,41.0199,380.5165,378.0274,4.2222,0.0641,0.0351,0.0833,0.0203,0.252,0.252,no,Columba oenas,short
5.5,473.7305,0.8516,0.338,0.3909,0.3942,0.2976,1,0.3197,1.6155,2.7562,93.9575,0.8151,496.1973,13.1244,495.1973,473.7305,5.875,0.057,0.0326,0.101,0.0727,0.5962,0.3322,no,Columba palumbus,short
1,3479.7657,0.9019,0.3148,0.2731,0.3251,0.4676,25,0.3277,2.3824,3.8674,695.3315,0.9076,3582.0586,6.7234,3582.0586,3488.3789,2.8,0.1045,0.0716,0.0384,0.006,0.2818,0.2818,no,Fringilla montifringilla,""
7,4450.1953,0.8539,0.3988,0.3599,0.3961,0.6547,12,0.333,3.5934,5.072,3022.5544,0.9756,4148.3308,2.5008,4153.6641,4407.1289,6.4222,0.0627,0.0209,0.0918,0.0359,0.7082,0.401,no,Anthus trivialis,short
9,4722.9492,0.7877,0.4286,0.3688,0.4265,0.5216,8,0.3311,2.7822,4.2218,1169.5824,0.9389,4549.9505,4.2571,4543.6172,4722.9492,8.2105,0.0431,0.01,0.0838,0.0525,0.5274,0.3534,no,Anthus pratensis,short
0.8824,4248.3743,0.7667,0.3592,0.3242,0.3548,0.5526,19.2353,0.3322,2.907,4.423,1405.2997,0.953,4320.9506,3.193,4375.0914,4243.3077,4.4412,0.0466,0.0264,0.0617,0.0195,0.2084,0.1987,no,Anthus campestris,long
1,4694.2383,0.8856,0.261,0.2945,0.2352,0.6762,23.1667,0.3332,3.9619,5.2096,3056.6123,0.9828,4194.2305,0.7022,4221.6081,4701.416,12.8333,0.0319,0.0051,0.0314,0.0043,0.4092,0.4092,no,Phylloscopus bonelli,medium
4,4877.2705,0.8484,0.3867,0.329,0.362,0.611,22.75,0.3314,3.2886,4.7882,2783.0799,0.9544,4404.2236,2.1789,4406.2236,4898.8037,9.7292,0.046,0.0191,0.0615,0.0357,0.781,0.4276,no,Phylloscopus sibilatrix,short
3,6158.4961,0.8045,0.3738,0.3217,0.3494,0.6119,23,0.3319,3.1408,4.7948,3482.9072,0.9573,6150.2679,2.403,6146.5536,6140.0391,8.3095,0.0512,0.02,0.068,0.03,0.7889,0.4218,no,Regulus regulus,short
2,2294.8242,0.8181,0.3465,0.2965,0.341,0.5505,30.2143,0.332,2.9503,4.4094,1446.7978,0.9523,2264.8627,1.8691,2320.6576,2331.7383,5.0095,0.0546,0.0167,0.0977,0.0434,0.3987,0.272,no,Coracias garrulus,short
2.2,3953.4961,0.7905,0.388,0.3291,0.3592,0.5297,27.6,0.3303,2.4197,4.2683,1594.7744,0.9306,4054.5891,5.0999,4052.1758,3979.336,7.0667,0.0535,0.0212,0.0885,0.0508,0.662,0.3773,no,Phoenicurus phoenicurus,short
11.5,3359.1797,0.8151,0.451,0.3787,0.404,0.6036,31.5,0.3328,3.1606,4.7487,2900.5786,0.9662,3327.5469,1.7695,3329.0469,3359.1797,5.6072,0.0539,0.0152,0.126,0.0741,0.436,0.3022,no,Acrocephalus arundinaceus,long
2.2143,4029.7852,0.7639,0.38,0.3349,0.3622,0.626,31.9286,0.3329,3.4192,4.8909,2574.3832,0.9718,4331.7598,1.6699,4320.6694,4079.0039,5.7321,0.0532,0.0196,0.0851,0.0374,0.4874,0.3022,no,Acrocephalus palustris,short
4.4,3875.9766,0.8261,0.3797,0.3407,0.368,0.6133,19.6,0.3328,3.3155,4.8101,2435.4558,0.9683,3691.418,1.4432,3607.4852,3858.75,6.28,0.062,0.0214,0.0997,0.0966,0.6708,0.3751,no,Acanthis flammea,""
5.2,4151.6016,0.8419,0.3586,0.3369,0.3422,0.6022,31,0.3327,3.2007,4.7388,2721.6494,0.965,4173.7617,2.7445,4173.1617,4108.5352,8.1943,0.049,0.0186,0.0747,0.0306,0.6426,0.3979,no,Spinus spinus,""
4,3258.6914,0.844,0.3585,0.3399,0.3551,0.5039,22,0.331,2.4826,4.1068,1728.2401,0.9292,3213.8919,4.4003,3215.5586,3229.9805,5.6278,0.0559,0.0269,0.1204,0.0443,0.509,0.3128,no,Jynx torquilla,long
2.7,551.25,0.8343,0.268,0.362,0.3719,0.224,1.9,0.3003,1.1606,2.2307,64.6076,0.7071,544.777,23.0368,549.0903,559.8633,6.5075,0.0566,0.0281,0.0714,0.0432,0.6482,0.3682,no,Streptopelia turtur,short
21,516.7969,0.8403,0.2967,0.4072,0.4159,0.2309,1,0.2969,1.1069,2.2691,70.5563,0.7036,513.7305,27.4984,513.7305,516.7969,6.9524,0.0482,0.0187,0.0962,0.0472,0.5043,0.335,no,Streptopelia decaocto,short
1.4444,3986.0352,0.7871,0.3677,0.3217,0.3355,0.5432,32.4444,0.3318,2.8296,4.3608,1593.4092,0.9463,4088.1311,2.7442,4087.7904,4014.7461,7.7222,0.0552,0.0177,0.0816,0.0328,0.5452,0.3992,no,Oenanthe oenanthe,short
1.1111,3617.5781,0.8332,0.3401,0.2961,0.339,0.596,29.1111,0.333,3.3956,4.7028,1614.1925,0.9701,3636.9857,1.0631,3640.319,3631.9336,6.9074,0.0556,0.0195,0.0684,0.0291,0.4678,0.3625,no,Oenanthe hispanica,""
1,4328.1738,0.8516,0.3841,0.3346,0.3418,0.6055,28,0.3329,3.3721,4.7624,1741.5226,0.9703,4405.0625,2.0274,4483.0176,4328.1738,9.8333,0.0522,0.0169,0.0806,0.0335,0.5106,0.5106,no,Saxicola torquatus,short
1.4286,3777.5391,0.7499,0.3644,0.2992,0.3387,0.6097,29.9286,0.3328,3.2933,4.7872,2236.0263,0.9682,3525.8647,1.2817,3666.0114,3811.377,6.6786,0.0526,0.0126,0.0882,0.0497,0.4193,0.3274,no,Saxicola rubetra,short
4.5,4705.0049,0.8016,0.4201,0.3398,0.4037,0.6109,16,0.333,3.4563,4.7969,2048.4728,0.9717,4907.5205,1.4423,4832.1543,4683.4717,8.5417,0.046,0.0162,0.0792,0.0437,0.6024,0.3869,no,Troglodytes troglodytes,short
23.5,4005.1758,0.7716,0.3904,0.3127,0.3623,0.6327,25.5,0.333,3.4924,4.9338,2575.7822,0.9743,4310.0742,1.5505,4308.0742,4026.709,6.9926,0.047,0.0166,0.094,0.0543,0.5037,0.3286,no,Carduelis citrinella,long
1.9,3479.7656,0.8104,0.316,0.2712,0.3086,0.5356,25,0.3318,2.9235,4.3142,1334.4107,0.9475,3428.2195,3.2541,3421.3996,3484.0723,9.6167,0.0394,0.0099,0.0462,0.0171,0.4553,0.3694,no,Chloris chloris,short
11.3333,4478.9062,0.8412,0.4118,0.3676,0.3541,0.724,30,0.3333,4.2371,5.51,6840.8613,0.987,4372.0182,0.343,3742.3776,4464.5508,6.7778,0.0546,0.0169,0.0931,0.0601,0.5926,0.362,no,Acrocephalus schoenobaenus,long
0.6316,2162.3869,0.6774,0.26,0.2987,0.3199,0.5043,25.5263,0.3306,2.5699,4.109,1419.5225,0.9284,2024.367,2.61,2023.6828,2175.9868,6.9474,0.0411,0.0098,0.0462,0.0206,0.2532,0.2532,no,Dendrocopos major,short
5.5714,4700.3906,0.8566,0.3746,0.3368,0.3429,0.6216,10.5714,0.3329,3.3965,4.8633,2368.4627,0.9709,4307.7171,1.7393,4315.298,4614.2578,6.8408,0.0664,0.0081,0.1104,0.0151,0.6923,0.4181,no,Anthus spinoletta,""
