"","path","file","name","Nom scientifique / Autorité","latin.name"
"242","6 huppe fascie´e - pipit a` gorge rousse/03 gue^pier d'Europe.mp3","03 gue^pier d'Europe.mp3","gue^pier d'europe","Merops apiaster Linnaeus, 1758","Merops apiaster"
"243","6 huppe fascie´e - pipit a` gorge rousse/04 gue^pier de Perse.mp3","04 gue^pier de Perse.mp3","gue^pier de perse","Merops persicus Pallas, 1773","Merops persicus"
"244","5 sterne naine - martinet des maisons/09 guifette leucopte`re.mp3","09 guifette leucopte`re.mp3","guifette leucopte`re","Chlidonias leucopterus (Temminck, 1815)","Chlidonias leucopterus"
"245","5 sterne naine - martinet des maisons/10 guifette moustac.mp3","10 guifette moustac.mp3","guifette moustac","Chlidonias hybrida (Pallas, 1811)","Chlidonias hybrida"
"246","5 sterne naine - martinet des maisons/08 guifette noire.mp3","08 guifette noire.mp3","guifette noire","Chlidonias niger (Linnaeus, 1758)","Chlidonias niger"
"247","5 sterne naine - martinet des maisons/13 guillemot a` miroir.mp3","13 guillemot a` miroir.mp3","guillemot a` miroir","Cepphus grylle (Linnaeus, 1758)","Cepphus grylle"
"248","5 sterne naine - martinet des maisons/15 guillemot de Bru¨nnich.mp3","15 guillemot de Bru¨nnich.mp3","guillemot de bru¨nnich","Uria lomvia (Linnaeus, 1758)","Uria lomvia"
"249","5 sterne naine - martinet des maisons/14 guillemot de Troi¨l.mp3","14 guillemot de Troi¨l.mp3","guillemot de troi¨l","Uria aalge (Pontoppidan, 1763)","Uria aalge"
"250","2 canard mandarin - autour sombre/30 gypae¨te barbu.mp3","30 gypae¨te barbu.mp3","gypae¨te barbu","Gypaetus barbatus (Linnaeus, 1758)","Gypaetus barbatus"
"251","2 canard mandarin - autour sombre/21 harelde bore´ale.mp3","21 harelde bore´ale.mp3","harelde bore´ale","Clangula hyemalis (Linnaeus, 1758)","Clangula hyemalis"
"252","5 sterne naine - martinet des maisons/35 harfang des neiges.mp3","35 harfang des neiges.mp3","harfang des neiges","Bubo scandiacus (Linnaeus, 1758)","Bubo scandiacus"
"253","2 canard mandarin - autour sombre/26 harle bie`vre.mp3","26 harle bie`vre.mp3","harle bie`vre","Mergus merganser Linnaeus, 1758","Mergus merganser"
"254","2 canard mandarin - autour sombre/27 harle huppe´.mp3","27 harle huppe´.mp3","harle huppe´","Mergus serrator Linnaeus, 1758","Mergus serrator"
"255","2 canard mandarin - autour sombre/25 harle piette.mp3","25 harle piette.mp3","harle piette","Mergellus albellus (Linnaeus, 1758)","Mergellus albellus"
"256","1 plongeon catmarin - tadorne casarca/29 he´ron cendre´.mp3","29 he´ron cendre´.mp3","he´ron cendre´","Ardea cinerea Linnaeus, 1758","Ardea cinerea"
"257","1 plongeon catmarin - tadorne casarca/25 he´ron gardeboeufs.mp3","25 he´ron gardeboeufs.mp3","he´ron gardeboeufs",NA,"bubulcus ibis"
"258","1 plongeon catmarin - tadorne casarca/30 he´ron pourpre´.mp3","30 he´ron pourpre´.mp3","he´ron pourpre´","Ardea purpurea Linnaeus, 1766","Ardea purpurea"
"259","5 sterne naine - martinet des maisons/40 hibou des marais.mp3","40 hibou des marais.mp3","hibou des marais","Asio flammeus (Pontoppidan, 1763)","Asio flammeus"
"260","5 sterne naine - martinet des maisons/41 hibou du Cap.mp3","41 hibou du Cap.mp3","hibou du cap",NA,"asio capensis"
"261","5 sterne naine - martinet des maisons/39 hibou moyen-duc.mp3","39 hibou moyen-duc.mp3","hibou moyen-duc","Asio otus (Linnaeus, 1758)","Asio otus"
"262","6 huppe fascie´e - pipit a` gorge rousse/39 hirondelle de fene^tre.mp3","39 hirondelle de fene^tre.mp3","hirondelle de fene^tre","Delichon urbicum (Linnaeus, 1758)","Delichon urbicum"
"263","6 huppe fascie´e - pipit a` gorge rousse/33 hirondelle de rivage.mp3","33 hirondelle de rivage.mp3","hirondelle de rivage","Riparia riparia (Linnaeus, 1758)","Riparia riparia"
"264","6 huppe fascie´e - pipit a` gorge rousse/35 hirondelle de rocher.mp3","35 hirondelle de rocher.mp3","hirondelle de rocher",NA,"ptyonoprogne rupestris"
"265","6 huppe fascie´e - pipit a` gorge rousse/36 hirondelle isabelline.mp3","36 hirondelle isabelline.mp3","hirondelle isabelline",NA,"ptyonoprogne fuligula"
"266","6 huppe fascie´e - pipit a` gorge rousse/34 hirondelle paludicole.mp3","34 hirondelle paludicole.mp3","hirondelle paludicole","Riparia paludicola (Vieillot, 1817)","Riparia paludicola"
"267","6 huppe fascie´e - pipit a` gorge rousse/38 hirondelle rousseline.mp3","38 hirondelle rousseline.mp3","hirondelle rousseline","Cecropis daurica (Laxmann, 1769)","Cecropis daurica"
"268","6 huppe fascie´e - pipit a` gorge rousse/37 hirondelle rustique.mp3","37 hirondelle rustique.mp3","hirondelle rustique","Hirundo rustica Linnaeus, 1758","Hirundo rustica"
"269","3 faucon cre´cerelle - glare´ole a` collier/42 hui¨trier pie.mp3","42 hui¨trier pie.mp3","hui¨trier pie","Haematopus ostralegus Linnaeus, 1758","Haematopus ostralegus"
"270","6 huppe fascie´e - pipit a` gorge rousse/01 huppe fascie´e.mp3","01 huppe fascie´e.mp3","huppe fascie´e","Upupa epops Linnaeus, 1758","Upupa epops"
"271","8 fauvette orphe´e - gobemouche a` demi-collier/30 hypolai¨s des oliviers.mp3","30 hypolai¨s des oliviers.mp3","hypolai¨s des oliviers",NA,"hippolais olivetorum"
"272","8 fauvette orphe´e - gobemouche a` demi-collier/28 hypolai¨s icte´rine.mp3","28 hypolai¨s icte´rine.mp3","hypolai¨s icte´rine","Hippolais icterina (Vieillot, 1817)","Hippolais icterina"
"273","8 fauvette orphe´e - gobemouche a` demi-collier/31 hypolai¨s pa^le.mp3","31 hypolai¨s pa^le.mp3","hypolai¨s pa^le","Iduna pallida (Hemprich & Ehrenberg, 1833)","Iduna pallida"
"274","8 fauvette orphe´e - gobemouche a` demi-collier/29 hypolai¨s polyglotte.mp3","29 hypolai¨s polyglotte.mp3","hypolai¨s polyglotte","Hippolais polyglotta (Vieillot, 1817)","Hippolais polyglotta"
"275","1 plongeon catmarin - tadorne casarca/33 ibis falcinelle.mp3","33 ibis falcinelle.mp3","ibis falcinelle","Plegadis falcinellus (Linnaeus, 1766)","Plegadis falcinellus"
"276","1 plongeon catmarin - tadorne casarca/34 ibis sacre´.mp3","34 ibis sacre´.mp3","ibis sacre´","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus"
"277","7 bergeronnette grise - fauvette a` te^te noire/06 jaseur bore´al.mp3","06 jaseur bore´al.mp3","jaseur bore´al","Bombycilla garrulus (Linnaeus, 1758)","Bombycilla garrulus"
"278","4 petit gravelot - goe´land a` ailes blanches/40 labbe a` longue queue.mp3","40 labbe a` longue queue.mp3","labbe a` longue queue","Stercorarius longicaudus Vieillot, 1819","Stercorarius longicaudus"
"279","4 petit gravelot - goe´land a` ailes blanches/39 labbe parasite.mp3","39 labbe parasite.mp3","labbe parasite","Stercorarius parasiticus (Linnaeus, 1758)","Stercorarius parasiticus"
"280","4 petit gravelot - goe´land a` ailes blanches/38 labbe pomarin.mp3","38 labbe pomarin.mp3","labbe pomarin","Stercorarius pomarinus (Temminck, 1815)","Stercorarius pomarinus"
"281","3 faucon cre´cerelle - glare´ole a` collier/12 lagope`de alpin.mp3","12 lagope`de alpin.mp3","lagope`de alpin","Lagopus muta (Montin, 1781)","Lagopus muta"
"282","3 faucon cre´cerelle - glare´ole a` collier/11 lagope`de des saules.mp3","11 lagope`de des saules.mp3","lagope`de des saules",NA,"lagopus lagopus"
"283","10 loriot d'europe - bruant striole´/14 linotte a` bec jaune.mp3","14 linotte a` bec jaune.mp3","linotte a` bec jaune","Linaria flavirostris (Linnaeus, 1758)","Linaria flavirostris"
"284","10 loriot d'europe - bruant striole´/13 linotte me´lodieuse.mp3","13 linotte me´lodieuse.mp3","linotte me´lodieuse","Linaria cannabina (Linnaeus, 1758)","Linaria cannabina"
"285","8 fauvette orphe´e - gobemouche a` demi-collier/20 locustelle fluviatile.mp3","20 locustelle fluviatile.mp3","locustelle fluviatile","Locustella fluviatilis (Wolf, 1810)","Locustella fluviatilis"
"286","8 fauvette orphe´e - gobemouche a` demi-collier/21 locustelle luscinioi¨de.mp3","21 locustelle luscinioi¨de.mp3","locustelle luscinioi¨de","Locustella luscinioides (Savi, 1824)","Locustella luscinioides"
"287","8 fauvette orphe´e - gobemouche a` demi-collier/19 locustelle tachete´e.mp3","19 locustelle tachete´e.mp3","locustelle tachete´e","Locustella naevia (Boddaert, 1783)","Locustella naevia"
"288","10 loriot d'europe - bruant striole´/01 loriot d'Europe.mp3","01 loriot d'Europe.mp3","loriot d'europe","Oriolus oriolus (Linnaeus, 1758)","Oriolus oriolus"
"289","8 fauvette orphe´e - gobemouche a` demi-collier/17 lusciniole a` moustaches.mp3","17 lusciniole a` moustaches.mp3","lusciniole a` moustaches","Acrocephalus melanopogon (Temminck, 1823)","Acrocephalus melanopogon"
"290","5 sterne naine - martinet des maisons/12 macareux moine.mp3","12 macareux moine.mp3","macareux moine","Fratercula arctica (Linnaeus, 1758)","Fratercula arctica"
"291","2 canard mandarin - autour sombre/20 macreuse brune.mp3","20 macreuse brune.mp3","macreuse brune","Melanitta fusca (Linnaeus, 1758)","Melanitta fusca"
"292","2 canard mandarin - autour sombre/19 macreuse noire.mp3","19 macreuse noire.mp3","macreuse noire","Melanitta nigra (Linnaeus, 1758)","Melanitta nigra"
"293","3 faucon cre´cerelle - glare´ole a` collier/34 marouette de Baillon.mp3","34 marouette de Baillon.mp3","marouette de baillon","Porzana pusilla (Pallas, 1776)","Porzana pusilla"
"294","3 faucon cre´cerelle - glare´ole a` collier/32 marouette ponctue´e.mp3","32 marouette ponctue´e.mp3","marouette ponctue´e","Porzana porzana (Linnaeus, 1766)","Porzana porzana"
"295","3 faucon cre´cerelle - glare´ole a` collier/33 marouette poussin.mp3","33 marouette poussin.mp3","marouette poussin","Porzana parva (Scopoli, 1769)","Porzana parva"
"296","6 huppe fascie´e - pipit a` gorge rousse/02 martin-pe^cheur d'Europe.mp3","02 martin-pe^cheur d'Europe.mp3","martin-pe^cheur d'europe","Alcedo atthis (Linnaeus, 1758)","Alcedo atthis"
"297","5 sterne naine - martinet des maisons/50 martinet a` ventre blanc.mp3","50 martinet a` ventre blanc.mp3","martinet a` ventre blanc","Tachymarptis melba (Linnaeus, 1758)","Tachymarptis melba"
"298","5 sterne naine - martinet des maisons/51 martinet cafre.mp3","51 martinet cafre.mp3","martinet cafre","Apus caffer (Lichtenstein, MHK, 1823)","Apus caffer"
"299","5 sterne naine - martinet des maisons/52 martinet des maisons.mp3","52 martinet des maisons.mp3","martinet des maisons","Apus affinis (Gray, JE, 1830)","Apus affinis"
"300","5 sterne naine - martinet des maisons/48 martinet noir.mp3","48 martinet noir.mp3","martinet noir","Apus apus (Linnaeus, 1758)","Apus apus"
"301","5 sterne naine - martinet des maisons/49 martinet pa^le.mp3","49 martinet pa^le.mp3","martinet pa^le","Apus pallidus (Shelley, 1870)","Apus pallidus"
"302","5 sterne naine - martinet des maisons/11 mergule nain.mp3","11 mergule nain.mp3","mergule nain","Alle alle (Linnaeus, 1758)","Alle alle"
"303","7 bergeronnette grise - fauvette a` te^te noire/39 merle a` plastron.mp3","39 merle a` plastron.mp3","merle a` plastron","Turdus torquatus Linnaeus, 1758","Turdus torquatus"
"304","7 bergeronnette grise - fauvette a` te^te noire/38 merle noir.mp3","38 merle noir.mp3","merle noir","Turdus merula Linnaeus, 1758","Turdus merula"
"305","9 me´sange charbonnie`re - e´tourneau roselin/10 me´sange a` longue queue.mp3","10 me´sange a` longue queue.mp3","me´sange a` longue queue","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus"
"306","9 me´sange charbonnie`re - e´tourneau roselin/03 me´sange bleue.mp3","03 me´sange bleue.mp3","me´sange bleue","Cyanistes caeruleus (Linnaeus, 1758)","Cyanistes caeruleus"
"307","9 me´sange charbonnie`re - e´tourneau roselin/06 me´sange bore´ale (alpestre).mp3","06 me´sange bore´ale (alpestre).mp3","me´sange bore´ale (alpestre)",NA,"poecile montanus"
"308","9 me´sange charbonnie`re - e´tourneau roselin/05 me´sange bore´ale (de plaine).mp3","05 me´sange bore´ale (de plaine).mp3","me´sange bore´ale (de plaine)",NA,"poecile montanus"
"309","9 me´sange charbonnie`re - e´tourneau roselin/01 me´sange charbonnie`re.mp3","01 me´sange charbonnie`re.mp3","me´sange charbonnie`re","Parus major Linnaeus, 1758","Parus major"
"310","9 me´sange charbonnie`re - e´tourneau roselin/04 me´sange huppe´e.mp3","04 me´sange huppe´e.mp3","me´sange huppe´e","Lophophanes cristatus (Linnaeus, 1758)","Lophophanes cristatus"
"311","9 me´sange charbonnie`re - e´tourneau roselin/08 me´sange lapone.mp3","08 me´sange lapone.mp3","me´sange lapone",NA,"poecile cinctus"
"312","9 me´sange charbonnie`re - e´tourneau roselin/09 me´sange lugubre.mp3","09 me´sange lugubre.mp3","me´sange lugubre",NA,"poecile lugubris"
"313","9 me´sange charbonnie`re - e´tourneau roselin/02 me´sange noire.mp3","02 me´sange noire.mp3","me´sange noire","Periparus ater (Linnaeus, 1758)","Periparus ater"
"314","9 me´sange charbonnie`re - e´tourneau roselin/07 me´sange nonnette.mp3","07 me´sange nonnette.mp3","me´sange nonnette","Poecile palustris (Linnaeus, 1758)","Poecile palustris"
"315","9 me´sange charbonnie`re - e´tourneau roselin/32 me´sangeai imitateur.mp3","32 me´sangeai imitateur.mp3","me´sangeai imitateur",NA,"perisoreus infaustus"
"316","10 loriot d'europe - bruant striole´/06 moineau blanc.mp3","06 moineau blanc.mp3","moineau blanc",NA,"passer simplex"
"317","10 loriot d'europe - bruant striole´/02 moineau domestique.mp3","02 moineau domestique.mp3","moineau domestique","Passer domesticus (Linnaeus, 1758)","Passer domesticus"
"318","10 loriot d'europe - bruant striole´/03 moineau espagnol.mp3","03 moineau espagnol.mp3","moineau espagnol","Passer hispaniolensis (Temminck, 1820)","Passer hispaniolensis"
"319","10 loriot d'europe - bruant striole´/04 moineau friquet.mp3","04 moineau friquet.mp3","moineau friquet","Passer montanus (Linnaeus, 1758)","Passer montanus"
"320","10 loriot d'europe - bruant striole´/05 moineau soulcie.mp3","05 moineau soulcie.mp3","moineau soulcie","Petronia petronia (Linnaeus, 1766)","Petronia petronia"
"321","7 bergeronnette grise - fauvette a` te^te noire/32 monticole bleu.mp3","32 monticole bleu.mp3","monticole bleu","Monticola solitarius (Linnaeus, 1758)","Monticola solitarius"
"322","7 bergeronnette grise - fauvette a` te^te noire/33 monticole de roche.mp3","33 monticole de roche.mp3","monticole de roche","Monticola saxatilis (Linnaeus, 1766)","Monticola saxatilis"
"323","4 petit gravelot - goe´land a` ailes blanches/44 mouette me´lanoce´phale.mp3","44 mouette me´lanoce´phale.mp3","mouette me´lanoce´phale","Ichthyaetus melanocephalus (Temminck, 1820)","Ichthyaetus melanocephalus"
"324","4 petit gravelot - goe´land a` ailes blanches/50 mouette pygme´e.mp3","50 mouette pygme´e.mp3","mouette pygme´e","Hydrocoloeus minutus (Pallas, 1776)","Hydrocoloeus minutus"
"325","4 petit gravelot - goe´land a` ailes blanches/41 mouette rieuse.mp3","41 mouette rieuse.mp3","mouette rieuse","Chroicocephalus ridibundus (Linnaeus, 1766)","Chroicocephalus ridibundus"
"326","4 petit gravelot - goe´land a` ailes blanches/51 mouette tridactyle.mp3","51 mouette tridactyle.mp3","mouette tridactyle","Rissa tridactyla (Linnaeus, 1758)","Rissa tridactyla"
"327","2 canard mandarin - autour sombre/12 nette rousse.mp3","12 nette rousse.mp3","nette rousse","Netta rufina (Pallas, 1773)","Netta rufina"
"328","10 loriot d'europe - bruant striole´/07 niverolle alpine.mp3","07 niverolle alpine.mp3","niverolle alpine","Montifringilla nivalis (Linnaeus, 1766)","Montifringilla nivalis"
"329","1 plongeon catmarin - tadorne casarca/15 oce´anite culblanc.mp3","15 oce´anite culblanc.mp3","oce´anite culblanc","Oceanodroma leucorhoa (Vieillot, 1818)","Oceanodroma leucorhoa"
"330","1 plongeon catmarin - tadorne casarca/14 oce´anite tempe^te.mp3","14 oce´anite tempe^te.mp3","oce´anite tempe^te","Hydrobates pelagicus (Linnaeus, 1758)","Hydrobates pelagicus"
"331","3 faucon cre´cerelle - glare´ole a` collier/45 oedicne`me criard.mp3","45 oedicne`me criard.mp3","oedicne`me criard","Burhinus oedicnemus (Linnaeus, 1758)","Burhinus oedicnemus"
"332","1 plongeon catmarin - tadorne casarca/43 oie a` bec court.mp3","43 oie a` bec court.mp3","oie a` bec court","Anser brachyrhynchus Baillon, 1834","Anser brachyrhynchus"
"333","1 plongeon catmarin - tadorne casarca/44 oie cendre´e.mp3","44 oie cendre´e.mp3","oie cendre´e","Anser anser (Linnaeus, 1758)","Anser anser"
"334","1 plongeon catmarin - tadorne casarca/42 oie des moissons.mp3","42 oie des moissons.mp3","oie des moissons",NA,"anser fabalis"
"335","1 plongeon catmarin - tadorne casarca/41 oie naine.mp3","41 oie naine.mp3","oie naine","Anser erythropus (Linnaeus, 1758)","Anser erythropus"
"336","1 plongeon catmarin - tadorne casarca/40 oie rieuse.mp3","40 oie rieuse.mp3","oie rieuse","Anser albifrons (Scopoli, 1769)","Anser albifrons"
"337","3 faucon cre´cerelle - glare´ole a` collier/41 outarde canepetie`re.mp3","41 outarde canepetie`re.mp3","outarde canepetie`re","Tetrax tetrax (Linnaeus, 1758)","Tetrax tetrax"
"338","9 me´sange charbonnie`re - e´tourneau roselin/11 panure a` moustaches.mp3","11 panure a` moustaches.mp3","panure a` moustaches","Panurus biarmicus (Linnaeus, 1758)","Panurus biarmicus"
"339","1 plongeon catmarin - tadorne casarca/17 pe´lican blanc.mp3","17 pe´lican blanc.mp3","pe´lican blanc","Pelecanus onocrotalus Linnaeus, 1758","Pelecanus onocrotalus"
"340","1 plongeon catmarin - tadorne casarca/18 pe´lican frise´.mp3","18 pe´lican frise´.mp3","pe´lican frise´","Pelecanus crispus Bruch, 1832","Pelecanus crispus"
"341","3 faucon cre´cerelle - glare´ole a` collier/21 perdrix bartavelle.mp3","21 perdrix bartavelle.mp3","perdrix bartavelle","Alectoris graeca (Meisner, 1804)","Alectoris graeca"
"342","3 faucon cre´cerelle - glare´ole a` collier/22 perdrix bartavelle X rouge.mp3","22 perdrix bartavelle X rouge.mp3","perdrix bartavelle x rouge",NA,NA
"343","3 faucon cre´cerelle - glare´ole a` collier/24 perdrix choukar.mp3","24 perdrix choukar.mp3","perdrix choukar",NA,"alectoris chukar"
"344","3 faucon cre´cerelle - glare´ole a` collier/23 perdrix gambra.mp3","23 perdrix gambra.mp3","perdrix gambra",NA,"alectoris barbara"
"345","3 faucon cre´cerelle - glare´ole a` collier/25 perdrix grise.mp3","25 perdrix grise.mp3","perdrix grise","Perdix perdix (Linnaeus, 1758)","Perdix perdix"
"346","3 faucon cre´cerelle - glare´ole a` collier/20 perdrix rouge.mp3","20 perdrix rouge.mp3","perdrix rouge","Alectoris rufa (Linnaeus, 1758)","Alectoris rufa"
"347","6 huppe fascie´e - pipit a` gorge rousse/06 perruche a` collier.mp3","06 perruche a` collier.mp3","perruche a` collier","Psittacula krameri (Scopoli, 1769)","Psittacula krameri"
"348","5 sterne naine - martinet des maisons/44 petit-duc scops.mp3","44 petit-duc scops.mp3","petit-duc scops","Otus scops (Linnaeus, 1758)","Otus scops"
"349","4 petit gravelot - goe´land a` ailes blanches/01 petit gravelot.mp3","01 petit gravelot.mp3","petit gravelot","Charadrius dubius Scopoli, 1786","Charadrius dubius"
"350","4 petit gravelot - goe´land a` ailes blanches/35 phalarope a` bec e´troit.mp3","35 phalarope a` bec e´troit.mp3","phalarope a` bec e´troit","Phalaropus lobatus (Linnaeus, 1758)","Phalaropus lobatus"
"351","4 petit gravelot - goe´land a` ailes blanches/34 phalarope a` bec large.mp3","34 phalarope a` bec large.mp3","phalarope a` bec large","Phalaropus fulicarius (Linnaeus, 1758)","Phalaropus fulicarius"
"352","8 fauvette orphe´e - gobemouche a` demi-collier/16 phragmite aquatique.mp3","16 phragmite aquatique.mp3","phragmite aquatique","Acrocephalus paludicola (Vieillot, 1817)","Acrocephalus paludicola"
"353","8 fauvette orphe´e - gobemouche a` demi-collier/15 phragmite des joncs.mp3","15 phragmite des joncs.mp3","phragmite des joncs","Acrocephalus schoenobaenus (Linnaeus, 1758)","Acrocephalus schoenobaenus"
"354","6 huppe fascie´e - pipit a` gorge rousse/15 pic a` dos blanc.mp3","15 pic a` dos blanc.mp3","pic a` dos blanc","Dendrocopos leucotos (Bechstein, 1802)","Dendrocopos leucotos"
"355","6 huppe fascie´e - pipit a` gorge rousse/10 pic cendre´.mp3","10 pic cendre´.mp3","pic cendre´","Picus canus Gmelin, JF, 1788","Picus canus"
"356","6 huppe fascie´e - pipit a` gorge rousse/11 pic de Levaillant.mp3","11 pic de Levaillant.mp3","pic de levaillant",NA,"picus vaillanti"
"357","6 huppe fascie´e - pipit a` gorge rousse/12 pic e´peiche.mp3","12 pic e´peiche.mp3","pic e´peiche","Dendrocopos major (Linnaeus, 1758)","Dendrocopos major"
"358","6 huppe fascie´e - pipit a` gorge rousse/17 pic e´peichette.mp3","17 pic e´peichette.mp3","pic e´peichette","Dryobates minor (Linnaeus, 1758)","Dryobates minor"
"359","6 huppe fascie´e - pipit a` gorge rousse/14 pic mar.mp3","14 pic mar.mp3","pic mar","Dendrocoptes medius (Linnaeus, 1758)","Dendrocoptes medius"
"360","6 huppe fascie´e - pipit a` gorge rousse/07 pic noir.mp3","07 pic noir.mp3","pic noir","Dryocopus martius (Linnaeus, 1758)","Dryocopus martius"
"361","6 huppe fascie´e - pipit a` gorge rousse/13 pic syriaque.mp3","13 pic syriaque.mp3","pic syriaque",NA,"dendrocopos syriacus"
