birdlife_sci_name,drumming,low_freq_range_sp,high_freq_range_sp,English_name,order_name,family_name,short_or_continuous_song,Ht_temporal_entropy,Hf_spectral_entropy,number_of_freq_peaks,peak_freq,ACTfract_mean_proportion_of_points_above_6dB_threshold,spectral_bandwidth_90,ugof_isochronous,npvi_ioi,num_syllables_per_unit_time,num_syllables,duration_song,syllable_duration_median,ioi_duration_median,count,number_of_freq_peaks_std,number_of_freq_peaks_cqv,peak_freq_std,peak_freq_cqv,syllable_duration_median_std,syllable_duration_median_cqv,ioi_duration_median_std,ioi_duration_median_cqv,npvi_ioi_std,npvi_ioi_cqv
Turdus pilaris,no,1000,12000,Fieldfare,PASSERIFORMES,TURDIDAE,short,0.7603,0.6945,29,3929.7766,0.3073,2988.8086,0.5359,18.0095,6.7467,22.2,3.2,0.0536,0.138,5,6.2849,8.7719,897.246,5.1066,0.0015,1.3734,0.0092,4.0021,2.2556,9.1004
Turdus iliacus,no,1000,12000,Redwing,PASSERIFORMES,TURDIDAE,"",0.7465,0.6289,31,5036.7031,0.2458,3273.0469,0.4928,25.1503,6.4935,60,9,0.0486,0.1422,2,2.8284,3.2258,2681.2384,18.8211,0.0031,2.2419,0.0144,3.5719,6.0732,8.5375
Turdus philomelos,no,1000,12000,Song Thrush,PASSERIFORMES,TURDIDAE,long,0.7777,0.4895,24.2308,3025.3717,0.2821,1136.2906,0.445,23.5669,5.9423,9.4615,1.8462,0.0651,0.199,13,3.7003,10.6383,616.5396,8.7837,0.0187,15.3826,0.094,20.1601,15.4665,44.1575
Coccothraustes coccothraustes,no,1000,12000,Hawfinch,PASSERIFORMES,FRINGILLIDAE,short,0.5343,0.3069,33.4,5218.3687,0.2445,249.7852,0.1533,9.4068,2.4,2.4,0,0.0576,0.1798,5,0.8944,1.4925,58.2967,0.1726,0.0019,0.6364,0.0364,8.1784,12.6611,100
Merops apiaster,no,1000,12000,European Bee-eater,CORACIIFORMES,MEROPIDAE,short,0.7582,0.4356,26.375,1943.3135,0.2535,576.0132,0.5323,14.6991,5.3229,19.75,3.375,0.0558,0.1653,8,3.7009,8.9202,174.2441,3.384,0.0051,6.0783,0.019,8.8833,7.0021,22.692
Hirundo rustica,no,1000,12000,Barn Swallow,PASSERIFORMES,HIRUNDINIDAE,short,0.8471,0.6597,14.6667,4209.0859,0.3104,2311.2305,0.4952,26.6433,7,49,7,0.0493,0.1263,3,3.2146,10,459.502,5.1284,0.0015,1.4719,0.0081,3.1501,2.6592,4.7837
Delichon urbicum,no,1000,12000,Common House Martin,PASSERIFORMES,HIRUNDINIDAE,short,0.808,0.6602,17.5,4030.6426,0.2953,2196.3867,0.534,17.4584,7.8,70,9,0.0501,0.1212,2,0.7071,1.4286,1184.8209,10.3928,0.001,0.7215,0.0113,3.2926,3.8796,7.8567
Riparia riparia,no,1000,12000,Sand Martin,PASSERIFORMES,HIRUNDINIDAE,short,0.85,0.6605,17,4418.0846,0.2743,2167.6758,0.48,20.3111,7,38.6667,5.6667,0.0568,0.135,3,7,20.5882,508.1081,5.2825,0.0095,8.0899,0.0293,10.0005,5.8678,14.1823
Ptyonoprogne rupestris,no,1000,12000,Eurasian Crag Martin,PASSERIFORMES,HIRUNDINIDAE,short,0.7916,0.5658,33.1304,3444.1591,0.1726,1664.6102,0.1217,5.0529,1.9565,2.5652,0.3043,0.0602,0.1525,23,6.3483,8.8235,681.4609,11.1111,0.0229,11.9431,0.0582,13.8455,10.3899,100
Cecropis daurica,no,1000,12000,Red-rumped Swallow,PASSERIFORMES,HIRUNDINIDAE,"",0.8225,0.5796,27.75,3681.6279,0.2925,1744.1895,0.5081,22.8938,8,12.5,1.75,0.0608,0.1486,4,3.4034,4.8889,689.0871,15.9936,0.0017,1.6509,0.0106,4.4982,4.1113,5.6731
Upupa epops,no,100,1000,Eurasian Hoopoe,BUCEROTIFORMES,UPUPIDAE,short,0.7655,0.1374,2.2857,577.673,0.3211,73.8281,0.3685,3.6842,2.8571,2.8571,0.8571,0.0647,0.2179,7,0.488,11.1111,14.7193,1.2207,0.002,1.7012,0.0046,1.0791,1.708,12.209
Hippolais icterina,no,1000,12000,Icterine Warbler,PASSERIFORMES,ACROCEPHALIDAE,long,0.8422,0.7301,37.25,4216.958,0.3273,4231.2744,0.5037,19.0543,6.4571,92.75,13.75,0.0513,0.148,4,2.0616,1.6835,1934.5133,22.5041,0.0011,1.5787,0.0186,6.2341,3.662,13.6311
Hippolais polyglotta,no,1000,12000,Melodious Warbler,PASSERIFORMES,ACROCEPHALIDAE,short,0.7893,0.599,30.0833,3775.333,0.2748,2052.832,0.5374,17.2269,7.0916,26,3.25,0.0519,0.1304,12,5.7912,14.2857,522.593,3.6111,0.0152,8.8159,0.0547,17.6577,5.9088,12.0633
Linaria cannabina,no,1000,12000,Common Linnet,PASSERIFORMES,FRINGILLIDAE,short,0.8819,0.6899,32,3208.9141,0.2791,2799.3164,0.5106,18.5962,7,98,14,0.0551,0.1335,1,0,0,0,0,0,0,0,0,0,0
Locustella luscinioides,no,1000,12000,Savi's Warbler,PASSERIFORMES,LOCUSTELLIDAE,"",0.8401,0.6077,23.3333,4008.1094,0.2187,2454.7852,0.5153,18.0452,9.409,99,10.3333,0.045,0.0943,3,5.1316,10.8696,46.2491,0.5626,0.0015,1.6115,0.0015,0.7686,4.8306,12.7963
Locustella naevia,no,1000,12000,Common Grasshopper Warbler,PASSERIFORMES,LOCUSTELLIDAE,continuous,0.9076,0.5023,11,5971.1641,0.2528,1248.9258,0.4927,19.7127,9.6,96,,0.0493,0.1016,1,0,0,0,0,0,0,0,0,0,0
Alcedo atthis,no,1000,12000,Common Kingfisher,CORACIIFORMES,ALCEDINIDAE,short,0.8168,0.4925,32.1111,5417.3898,0.2031,2928.5156,0.287,16.3798,3.1111,3.1111,0.4444,0.061,0.1783,9,3.6553,4.7619,306.6903,2.5716,0.0117,14.6387,0.0674,16.3801,21.5718,100
Apus apus,no,1000,12000,Common Swift,CAPRIMULGIFORMES,APODIDAE,short,0.8716,0.5946,27,5288.7682,0.2297,1593.457,0.5545,24.3104,6.8333,40.3333,6,0.058,0.1309,3,1,1.8519,183.7896,1.6085,0.0026,2.1767,0.013,4.3602,4.2112,8.3452
Apus pallidus,no,1000,12000,Pallid Swift,CAPRIMULGIFORMES,APODIDAE,"",0.8952,0.5951,32.5,4840.3877,0.2298,1711.8896,0.5229,21.5283,6.1875,18,3,0.0577,0.1361,4,3.6968,3.0075,219.9992,2.3249,0.0027,2.1788,0.0134,5.3867,4.5132,8.3907
Tachymarptis melba,no,1000,12000,Alpine Swift,CAPRIMULGIFORMES,APODIDAE,"",0.8123,0.5535,29.25,3933.5098,0.2785,1507.3242,0.4631,8.2016,10.05,88,7.75,0.0441,0.1047,4,3.5,2.9046,357.7568,5.3616,0.0084,14.1142,0.0419,25.1579,5.2032,37.1642
Monticola solitarius,no,1000,12000,Blue Rock Thrush,PASSERIFORMES,MUSCICAPIDAE,"",0.8331,0.5303,29.3333,2900.2383,0.248,1155.6152,0.4715,18.1758,7.1,30.5,4.3333,0.0513,0.1257,6,2.2509,4.3478,296.2555,7.0818,0.0041,4.9675,0.0127,8.2704,2.6463,7.4258
Monticola saxatilis,no,1000,12000,Common Rock Thrush,PASSERIFORMES,MUSCICAPIDAE,"",0.8127,0.5873,25.6,3192.4742,0.2725,1903.5352,0.4821,17.8496,7.0197,44.6,6.2,0.0527,0.1245,5,4.7749,7.6923,311.5302,7.8915,0.0023,2.0672,0.0147,9.3003,2.9662,3.8625
Turdus torquatus,no,1000,12000,Ring Ouzel,PASSERIFORMES,TURDIDAE,short,0.7286,0.6152,32.8125,3326.376,0.2752,2244.8364,0.4316,20.1632,6.5312,7.4375,1,0.0574,0.1436,16,4.9829,5.1793,891.0062,19.4437,0.0211,15.4988,0.0577,15.1519,11.9095,40.8834
Passer montanus,no,1000,12000,Eurasian Tree Sparrow,PASSERIFORMES,PASSERIDAE,short,0.637,0.6332,36.3333,3122.4258,0.3263,2368.6523,0.1586,9.7897,3.5556,21.3333,3,0.0626,0.1819,3,0.5774,0.6897,115.7007,1.6364,0.0134,10.7254,0.0423,10.5046,16.9563,100
Petronia petronia,no,1000,12000,Rock Sparrow,PASSERIFORMES,PASSERIDAE,short,0.8105,0.5664,32.1429,3518.6456,0.2298,1790.332,0,0,2,2,0,0.0639,0.1603,7,1.9518,3.125,622.7277,16.8455,0.0043,6.2488,0.0234,9.4919,0,0
Poecile montanus,no,1000,12000,Willow Tit,PASSERIFORMES,PARIDAE,long,0.768,0.5724,25.7143,4776.7285,0.2908,2187.1582,0.508,17.4708,6.1786,8,1.1429,0.0553,0.1446,14,3.7092,9.2683,1515.5347,15.9025,0.0062,9.5376,0.0375,14.9639,17.5912,60.0098
Lophophanes cristatus,no,1000,12000,European Crested Tit,PASSERIFORMES,PARIDAE,long,0.8082,0.5568,20.1667,4496.0397,0.2786,2368.6523,0.5235,17.2695,10.3333,18.3333,1.8333,0.041,0.0874,6,4.3551,7.6923,1296.5263,20.787,0.0046,9.4933,0.0216,15.881,3.7743,9.4005
Periparus ater,no,1000,12000,Coal Tit,PASSERIFORMES,PARIDAE,short,0.823,0.5661,20.9,5191.3422,0.2569,1929.375,0.5019,15.6813,6.8357,21.5,3.1,0.057,0.1369,10,4.7011,10.8571,1431.4091,4.2154,0.005,6.1822,0.0137,7.2194,9.1633,55.6653
Poecile palustris,no,1000,12000,Marsh Tit,PASSERIFORMES,PARIDAE,short,0.7465,0.5845,26.5862,4390.3553,0.3126,1883.0415,0.4895,14.6717,6.8707,10.3103,1.4828,0.0535,0.1448,29,4.7773,13.2075,699.2935,8.816,0.0061,6.8529,0.036,17.3464,10.3787,50.6506
Aegithalos caudatus,no,1000,12000,Long-tailed Tit,PASSERIFORMES,AEGITHALIDAE,short,0.7838,0.5594,25.625,6699.6431,0.2732,1738.8062,0.5919,14.8113,4.8816,20.75,3.25,0.0636,0.18,8,7.2099,21.2121,287.7562,1.017,0.0231,23.5421,0.0544,16.3468,1.82,10.2431
Tetrax tetrax,no,1000,12000,Little Bustard,OTIDIFORMES,OTIDIDAE,short,0.3443,0.7223,16,4120.292,0.227,3488.3789,0.5067,18.1444,4,4,0,0.0562,0.1255,4,2.1602,6.1538,902.679,18.8912,0.0023,2.5773,0.008,4.345,2.5102,6.4365
Picus canus,no,1000,12000,Grey-headed Woodpecker,PICIFORMES,PICIDAE,short,0.7949,0.4354,27.1667,1639.6348,0.2261,1220.2148,0.5374,15.1108,9.0139,20.3333,2.5,0.0529,0.1525,6,4.8339,8.7719,540.6456,22.4033,0.0172,28.4191,0.076,36.4846,13.4381,73.4143
Leiopicus medius,no,1000,12000,Middle Spotted Woodpecker,PICIFORMES,PICIDAE,short,0.9057,0.5764,32.1,2819.7832,0.1957,1813.0957,0.4934,17.3017,6.315,19.2,3.1,0.0588,0.1213,10,1.3703,3.125,429.7757,3.7727,0.0153,9.4724,0.0338,16.9063,7.5858,14.3376
Dryocopus martius,no,1000,12000,Black Woodpecker,PICIFORMES,PICIDAE,short,0.8058,0.4028,17.8333,1646.9902,0.2321,854.1504,0.4836,12.1667,10.2917,28.8333,3.5,0.048,0.1403,6,2.8577,7.483,250.1519,10.9655,0.0139,22.9557,0.0643,32.5821,13.452,73.8482
Picus viridis,no,1000,12000,European Green Woodpecker,PICIFORMES,PICIDAE,short,0.8376,0.3404,23.25,2092.6709,0.2701,301.4648,0.5042,1.8995,6.6875,17.25,2.75,0.0566,0.1602,4,2.5,4.8128,19.8527,0.3945,0.0018,2.2579,0.0317,16.6564,0.7289,27.0811
Dryobates minor,no,1000,12000,Lesser Spotted Woodpecker,PICIFORMES,PICIDAE,short,0.8159,0.464,18.625,1715.7065,0.248,1534.2407,0.4753,18.4748,13.3542,18,1.625,0.0382,0.0817,8,4.5962,22.7586,583.1335,11.6213,0.0147,15.486,0.0452,30.0573,10.139,19.6867
Lanius excubitor,no,1000,12000,Great Grey Shrike,PASSERIFORMES,LANIIDAE,"",0.7205,0.4011,26.4737,2675.5841,0.2875,784.2619,0.4156,20.6013,4.4737,7.5789,1.0526,0.0515,0.1352,19,3.5177,13.2075,380.5775,10.2455,0.0069,4.7306,0.0395,19.4671,13.1731,26.9419
Lanius meridionalis,no,1000,12000,Iberian Grey Shrike,PASSERIFORMES,LANIIDAE,"",0.696,0.3914,26.9444,2644.0658,0.2701,717.7734,0.5235,25.4329,4.8611,5.5556,0.9444,0.05,0.1377,18,4.2214,14.2857,365.2044,10.2899,0.0078,4.7419,0.0346,17.7521,14.5911,19.6322
Lanius senator,no,1000,12000,Woodchat Shrike,PASSERIFORMES,LANIIDAE,long,0.8198,0.6723,33,3398.1465,0.3391,2799.3164,0.4876,21.3716,6.4652,104.5,16.5,0.0515,0.1382,2,2.8284,3.0303,96.3074,1.002,0.001,0.6988,0.0108,2.7563,1.2903,2.1345
Lanius collurio,no,1000,12000,Red-backed Shrike,PASSERIFORMES,LANIIDAE,short,0.748,0.56,26.6364,2849.8679,0.2601,2290.3498,0.4867,22.088,6.9242,9.7273,1.4545,0.0518,0.1174,11,3.668,8.4112,923.7703,16.5475,0.0057,8.0706,0.0249,18.6535,10.1042,32.887
Columba livia,no,100,1000,Rock Dove,COLUMBIFORMES,COLUMBIDAE,short,0.9156,0.2708,2,428.0977,0.1633,172.2656,0.4819,15.4505,9.5,9.5,1,0.045,0.1038,2,0,0,9.1924,0.7592,0.0103,8.062,0.0133,4.545,2.2472,5.1423
Columba oenas,no,100,1000,Stock Dove,COLUMBIFORMES,COLUMBIDAE,short,0.8415,0.1984,2.3333,387.8646,0.259,114.8438,0.4724,15.0141,4.2222,4.2222,0.8889,0.0597,0.1537,9,0.5,20,15.6364,0.3856,0.0193,6.7598,0.062,18.3659,13.3586,56.6701
Columba palumbus,no,100,1000,Common Wood Pigeon,COLUMBIFORMES,COLUMBIDAE,short,0.8516,0.2976,1,496.1973,0.342,236.8652,0.5002,26.5452,5.875,31,5.5,0.0512,0.1393,4,0,0,19.5396,3.0358,0.0027,2.1233,0.0251,5.0752,2.7751,5.0521
Fringilla montifringilla,no,1000,12000,Brambling,PASSERIFORMES,FRINGILLIDAE,"",0.9019,0.4676,25,3582.0586,0.2189,913.0078,0.288,10.5907,2.8,2.8,1,0.1045,0.1438,5,2.3452,8,425.989,10.5244,0.0234,13.682,0.0932,15.9253,9.8498,100
Anthus trivialis,no,1000,12000,Tree Pipit,PASSERIFORMES,MOTACILLIDAE,short,0.8539,0.6547,12,4148.3307,0.3292,2469.1406,0.5527,8.7246,6.4222,47,7,0.0576,0.1546,3,2.6458,10.2041,361.663,4.2896,0.0042,3.1819,0.01,3.1799,2.3959,13.3448
Anthus pratensis,no,1000,12000,Meadow Pipit,PASSERIFORMES,MOTACILLIDAE,short,0.7877,0.5215,8,4549.9505,0.3579,1062.3047,0.4995,22.1187,8.2105,71,9,0.045,0.1161,3,2,12.5,793.2179,7.967,0.0038,4.0614,0.0076,3.2755,10.0637,19.5104
Anthus campestris,no,1000,12000,Tawny Pipit,PASSERIFORMES,MOTACILLIDAE,long,0.7667,0.5526,19.2353,4320.9506,0.2772,1674.5232,0.4879,16.4213,4.4412,5.9412,0.8824,0.0426,0.1088,17,3.5449,11.1111,563.9749,12.1331,0.0086,13.7935,0.0283,17.4903,12.3995,57.3204
Phylloscopus bonelli,no,1000,12000,Western Bonelli's Warbler,PASSERIFORMES,PHYLLOSCOPIDAE,medium,0.8856,0.6762,23.1667,4194.2305,0.16,2605.5176,0.3907,4.4872,12.8333,12.8333,1,0.0317,0.0614,6,3.5449,6.8063,111.8015,1.2747,0.0011,1.7324,0.0015,0.8842,2.1202,12.0828
Phylloscopus sibilatrix,no,1000,12000,Wood Warbler,PASSERIFORMES,PHYLLOSCOPIDAE,short,0.8484,0.6111,22.75,4404.2236,0.2888,2271.7529,0.514,15.688,9.7292,38.5,4,0.0457,0.111,4,4.5735,13.8122,1267.1513,20.4204,0.0064,3.8857,0.0357,14.8373,13.0165,35.0896
Regulus regulus,no,1000,12000,Goldcrest,PASSERIFORMES,REGULIDAE,short,0.8045,0.6118,23,6150.2679,0.2747,2633.2031,0.5039,18.7238,8.3095,24.7143,3,0.0495,0.1172,7,3.6056,10.1124,1823.284,11.8072,0.0031,1.4719,0.0162,7.5985,5.3379,7.2461
Coracias garrulus,no,1000,12000,European Roller,CORACIIFORMES,CORACIIDAE,short,0.8181,0.5504,30.2143,2264.8627,0.257,1455.0293,0.3744,18.1409,5.0095,12.5714,2,0.053,0.1448,14,5.8201,13.1148,1042.3773,29.2246,0.0066,8.0094,0.0376,12.9345,12.3209,53.4586
Phoenicurus phoenicurus,no,1000,12000,Common Redstart,PASSERIFORMES,MUSCICAPIDAE,short,0.7904,0.5297,27.6,4054.5891,0.2906,1765.7227,0.4956,21.1881,7.0667,15.4,2.2,0.0525,0.144,5,3.2863,7.1429,11.5507,0.1357,0.0036,1.3877,0.0307,11.0542,8.6009,6.6753
Acrocephalus arundinaceus,no,1000,12000,Great Reed Warbler,PASSERIFORMES,ACROCEPHALIDAE,long,0.8151,0.6037,31.5,3327.5469,0.3647,1894.9219,0.4924,26.9786,5.6071,64,11.5,0.0555,0.1778,2,2.1213,2.381,677.7342,7.201,0.0026,1.6325,0.0133,2.6522,3.322,4.3535
Acrocephalus palustris,no,1000,12000,Marsh Warbler,PASSERIFORMES,ACROCEPHALIDAE,short,0.7639,0.626,31.9286,4331.7598,0.296,2571.6797,0.4049,15.2397,5.7321,15.4286,2.2143,0.0526,0.1269,14,3.5402,7.0866,620.4772,10.1552,0.0063,4.7294,0.0251,4.7038,9.535,30.3922
Acanthis flammea,no,1000,12000,Common Redpoll,PASSERIFORMES,FRINGILLIDAE,"",0.826,0.6133,19.6,3691.418,0.2989,1912.1484,0.5121,20.7698,6.28,28.8,4.4,0.0563,0.13,5,5.5498,8.1081,349.3208,5.1408,0.0075,0.6703,0.0121,7.7789,5.9665,17.6403
Spinus spinus,no,1000,12000,Eurasian Siskin,PASSERIFORMES,FRINGILLIDAE,"",0.8419,0.6022,31,4173.7617,0.2835,1894.9219,0.516,17.6662,8.1943,40.2,5.2,0.0505,0.1225,5,4.1833,8.4746,305.4304,4.3254,0.0028,2.8645,0.0081,1.8208,3.2971,13.7691
Jynx torquilla,no,1000,12000,Eurasian Wryneck,PICIFORMES,PICIDAE,long,0.844,0.5039,22,3213.8919,0.2883,1650.8789,0.4604,12.3857,5.6278,22.6667,4,0.0585,0.193,3,3.6056,7.8652,470.1312,6.2353,0.0059,4.4032,0.0305,7.8951,10.793,44.9878
Streptopelia turtur,no,100,1000,European Turtle Dove,COLUMBIFORMES,COLUMBIDAE,short,0.8343,0.224,1.9,544.777,0.3019,129.1992,0.4778,21.3939,6.5075,18.7,2.7,0.0512,0.1153,10,0.3162,0,8.0966,1.1961,0.0066,7.3907,0.0165,9.6729,3.6417,8.44
Streptopelia decaocto,no,100,1000,Eurasian Collared Dove,COLUMBIFORMES,COLUMBIDAE,short,0.8403,0.2309,1,513.7305,0.3585,129.1992,0.5308,22.9677,6.9524,146,21,0.0508,0.1495,1,0,0,0,0,0,0,0,0,0,0
Oenanthe oenanthe,no,1000,12000,Northern Wheatear,PASSERIFORMES,MUSCICAPIDAE,short,0.7871,0.5432,32.4444,4088.1311,0.2672,1583.8867,0.4807,16.6524,7.7222,11.3333,1.4444,0.0561,0.1314,9,1.8105,4.6154,484.9339,3.175,0.0122,4.1065,0.0285,8.7722,7.9208,18.7287
Oenanthe hispanica,no,1000,12000,Western Black-eared Wheatear,PASSERIFORMES,MUSCICAPIDAE,"",0.8332,0.596,29.1111,3636.9857,0.252,1526.4648,0.4422,21.4953,6.9074,10.2222,1.1111,0.0526,0.1138,9,4.9103,6.6667,666.4813,15.3015,0.0164,4.4739,0.0418,7.3694,11.9853,18.6367
Saxicola torquatus,no,1000,12000,Common Stonechat,PASSERIFORMES,MUSCICAPIDAE,short,0.8517,0.6055,28,4405.0625,0.2704,1765.7227,0.4938,17.7486,9.8333,9.8333,1,0.0525,0.1321,6,5.4037,11.1111,315.9411,5.2729,0.0047,2.7074,0.0214,4.2286,6.5234,25.12
Saxicola rubetra,no,1000,12000,Whinchat,PASSERIFORMES,MUSCICAPIDAE,short,0.7499,0.6097,29.9286,3525.8647,0.2698,2067.1875,0.501,17.7656,6.6786,10.4286,1.4286,0.0524,0.1297,14,5.3416,11.5702,632.143,9.687,0.0087,8.5735,0.0274,9.1679,11.4987,52.7964
Troglodytes troglodytes,no,1000,12000,Eurasian Wren,PASSERIFORMES,TROGLODYTIDAE,short,0.8016,0.6109,16,4907.5205,0.3248,1808.7891,0.4813,13.3708,8.5417,36.5,4.5,0.0444,0.105,4,1.4142,4.7619,216.7338,1.6122,0.0089,6.0446,0.0217,5.8511,1.3112,4.1285
Carduelis citrinella,no,1000,12000,Citril Finch,PASSERIFORMES,FRINGILLIDAE,long,0.7716,0.6327,25.5,4310.0742,0.298,2045.6543,0.5248,21.7674,6.9926,165,23.5,0.0486,0.1255,2,14.8492,20.5882,237.2564,1.9462,0.0031,2.237,0.0113,3.1785,2.1888,3.5551
Chloris chloris,no,1000,12000,European Greenfinch,PASSERIFORMES,FRINGILLIDAE,short,0.8104,0.5356,25,3428.2195,0.2167,1270.459,0.5633,5.9026,9.6167,16.8,1.9,0.0385,0.0787,10,3.7417,11.5578,330.4317,4.3152,0.0048,7.6954,0.0152,12.4515,3.8572,49.9615
Acrocephalus schoenobaenus,no,1000,12000,Sedge Warbler,PASSERIFORMES,ACROCEPHALIDAE,long,0.8412,0.724,30,4372.0182,0.3285,3488.3789,0.4761,16.8998,6.7778,77,11.3333,0.0503,0.1294,3,4.3589,6.7797,928.7945,9.6295,0.0084,7.0432,0.0457,17.0805,3.2373,9.3049
Dendrocopos major,no,1000,12000,Great Spotted Woodpecker,PICIFORMES,PICIDAE,short,0.6773,0.5043,25.5263,2024.367,0.2287,1434.7913,0.3349,8.884,6.9474,6.9474,0.6316,0.0398,0.0787,19,7.5966,22.2222,1302.7716,52.1556,0.0105,22.0276,0.0329,18.4963,8.0508,100
Anthus spinoletta,no,1000,12000,Water Pipit,PASSERIFORMES,MOTACILLIDAE,"",0.8565,0.6217,10.5714,4307.7171,0.2756,2214.8438,0.5268,4.8197,6.8408,48.1429,5.5714,0.0671,0.1756,7,2.6992,16.2791,472.8531,5.8452,0.0163,13.899,0.0601,20.3211,2.1337,21.4953
